Species,Family,Order,SQS,Conservation status,Larval feeding guild,Adult feeding guild,Broad biotope,Habitat,Resources,Specific assemblage type,Habitat score,Associations
Viviparus contectus,Viviparidae,[unassigned] Caenogastropoda,4,LC;NS,herbivore,herbivore,wetland,marshland,"base status >> base, shallow freshwater pond >> aquatic: sparsely vegetated",W211,"grazing marsh - salinity: 0, grazing marsh - status: 2",
Viviparus viviparus,Viviparidae,[unassigned] Caenogastropoda,1,,herbivore,herbivore,wetland,running water,flow >> slow flow,W125,coarse woody debris: d,
Auriculinella bidentata,Ellobiidae,[unassigned] Pulmonata,4,LC;NS,herbivore,,coastal,rocky shore,,,"grazing marsh - salinity: 2, grazing marsh - status: 2",
Apocorophium lacustre,Corophiidae,Amphipoda,8,RDB 3,saprophagous,,coastal,saline lagoon,aquatic: sparsely vegetated,,,
Chelicorophium curvispinum,Corophiidae,Amphipoda,1,,,,coastal; wetland,brackish pools & ditches; running water,"aquatic: sparsely vegetated, flow >> slow flow",,coarse woody debris: e,
Corophium multisetosum,Corophiidae,Amphipoda,,,,,coastal,brackish pools & ditches; saltmarsh,aquatic: sparsely vegetated,,,
Corophium volutator,Corophiidae,Amphipoda,,,,,,,,,"grazing marsh - salinity: 2, grazing marsh - status: 1",
Monocorophium insidiosum,Corophiidae,Amphipoda,,,saprophagous,,coastal,saline lagoon,aquatic: sparsely vegetated,,,
Crangonyx pseudogracilis,Crangonyctidae,Amphipoda,1,,,,wetland,marshland,shallow freshwater pond >> temporary water dependant,,,
Crangonyx subterraneus,Crangonyctidae,Amphipoda,,,,,wetland,running water,,,,
Gammarus chevreuxi,Gammaridae,Amphipoda,1,,,,coastal,brackish pools & ditches; saline lagoon; saltmarsh,aquatic: well vegetated,,,
Gammarus duebeni,Gammaridae,Amphipoda,1,,,,coastal,brackish pools & ditches; saltmarsh,aquatic: sparsely vegetated,,"grazing marsh - salinity: 2, grazing marsh - status: 1",
Gammarus insensibilis,Gammaridae,Amphipoda,8,Legal Protection;RDB 3;Section 41 Priority Species,,,coastal,brackish pools & ditches; saline lagoon; saltmarsh,aquatic: well vegetated,,,
Gammarus lacustris,Gammaridae,Amphipoda,1,,,,wetland,marshland,,,coarse woody debris: d,
Gammarus salinus,Gammaridae,Amphipoda,,,,,,,,,"grazing marsh - salinity: 2, grazing marsh - status: 1",
Gammarus tigrinus,Gammaridae,Amphipoda,1,,,,wetland,marshland,,,,
Gammarus zaddachi,Gammaridae,Amphipoda,1,,,,coastal,brackish pools & ditches; saltmarsh,,,"grazing marsh - salinity: 2, grazing marsh - status: 1",
Allomelita pellucida,Melitidae,Amphipoda,4,RDB K,,,coastal,brackish pools & ditches; saltmarsh,aquatic: well vegetated,,,
Niphargus aquilex,Niphargidae,Amphipoda,1,,saprophagous,predator,wetland,running water,,,,
