sampleid	processid
CARR_001_A1	CARR1007-23
CARR_001_A10	CARR1079-23
CARR_001_A11	CARR1087-23
CARR_001_A12	CARR1095-23
CARR_001_A2	CARR1015-23
CARR_001_A3	CARR1023-23
CARR_001_A4	CARR1031-23
CARR_001_A5	CARR1039-23
CARR_001_A6	CARR1047-23
CARR_001_A7	CARR1055-23
CARR_001_A8	CARR1063-23
CARR_001_A9	CARR1071-23
CARR_001_B1	CARR1008-23
CARR_001_B10	CARR1080-23
CARR_001_B11	CARR1088-23
CARR_001_B12	CARR1096-23
CARR_001_B2	CARR1016-23
CARR_001_B3	CARR1024-23
CARR_001_B4	CARR1032-23
CARR_001_B5	CARR1040-23
CARR_001_B6	CARR1048-23
CARR_001_B7	CARR1056-23
CARR_001_B8	CARR1064-23
CARR_001_B9	CARR1072-23
CARR_001_C1	CARR1009-23
CARR_001_C10	CARR1081-23
CARR_001_C11	CARR1089-23
CARR_001_C12	CARR1097-23
CARR_001_C2	CARR1017-23
CARR_001_C3	CARR1025-23
CARR_001_C4	CARR1033-23
CARR_001_C5	CARR1041-23
CARR_001_C6	CARR1049-23
CARR_001_C7	CARR1057-23
CARR_001_C8	CARR1065-23
CARR_001_C9	CARR1073-23
CARR_001_D1	CARR1010-23
CARR_001_D10	CARR1082-23
CARR_001_D11	CARR1090-23
CARR_001_D12	CARR1098-23
CARR_001_D2	CARR1018-23
CARR_001_D3	CARR1026-23
CARR_001_D4	CARR1034-23
CARR_001_D5	CARR1042-23
CARR_001_D6	CARR1050-23
CARR_001_D7	CARR1058-23
CARR_001_D8	CARR1066-23
CARR_001_D9	CARR1074-23
CARR_001_E1	CARR1011-23
CARR_001_E10	CARR1083-23
CARR_001_E11	CARR1091-23
CARR_001_E12	CARR1099-23
CARR_001_E2	CARR1019-23
CARR_001_E3	CARR1027-23
CARR_001_E4	CARR1035-23
CARR_001_E5	CARR1043-23
CARR_001_E6	CARR1051-23
CARR_001_E7	CARR1059-23
CARR_001_E8	CARR1067-23
CARR_001_E9	CARR1075-23
CARR_001_F1	CARR1012-23
CARR_001_F10	CARR1084-23
CARR_001_F11	CARR1092-23
CARR_001_F12	CARR1100-23
CARR_001_F2	CARR1020-23
CARR_001_F3	CARR1028-23
CARR_001_F4	CARR1036-23
CARR_001_F5	CARR1044-23
CARR_001_F6	CARR1052-23
CARR_001_F7	CARR1060-23
CARR_001_F8	CARR1068-23
CARR_001_F9	CARR1076-23
CARR_001_G1	CARR1013-23
CARR_001_G10	CARR1085-23
CARR_001_G11	CARR1093-23
CARR_001_G12	CARR1101-23
CARR_001_G2	CARR1021-23
CARR_001_G3	CARR1029-23
CARR_001_G4	CARR1037-23
CARR_001_G5	CARR1045-23
CARR_001_G6	CARR1053-23
CARR_001_G7	CARR1061-23
CARR_001_G8	CARR1069-23
CARR_001_G9	CARR1077-23
CARR_001_H1	CARR1014-23
CARR_001_H10	CARR1086-23
CARR_001_H11	CARR1094-23
CARR_001_H2	CARR1022-23
CARR_001_H3	CARR1030-23
CARR_001_H4	CARR1038-23
CARR_001_H5	CARR1046-23
CARR_001_H6	CARR1054-23
CARR_001_H7	CARR1062-23
CARR_001_H8	CARR1070-23
CARR_001_H9	CARR1078-23
CARR_002_A1	CARR1102-23
CARR_002_A10	CARR1174-23
CARR_002_A11	CARR1182-23
CARR_002_A12	CARR1190-23
CARR_002_A2	CARR1110-23
CARR_002_A3	CARR1118-23
CARR_002_A4	CARR1126-23
CARR_002_A5	CARR1134-23
CARR_002_A6	CARR1142-23
CARR_002_A7	CARR1150-23
CARR_002_A8	CARR1158-23
CARR_002_A9	CARR1166-23
CARR_002_B1	CARR1103-23
CARR_002_B10	CARR1175-23
CARR_002_B11	CARR1183-23
CARR_002_B12	CARR1191-23
CARR_002_B2	CARR1111-23
CARR_002_B3	CARR1119-23
CARR_002_B4	CARR1127-23
CARR_002_B5	CARR1135-23
CARR_002_B6	CARR1143-23
CARR_002_B7	CARR1151-23
CARR_002_B8	CARR1159-23
CARR_002_B9	CARR1167-23
CARR_002_C1	CARR1104-23
CARR_002_C10	CARR1176-23
CARR_002_C11	CARR1184-23
CARR_002_C12	CARR1192-23
CARR_002_C2	CARR1112-23
CARR_002_C3	CARR1120-23
CARR_002_C4	CARR1128-23
CARR_002_C5	CARR1136-23
CARR_002_C6	CARR1144-23
CARR_002_C7	CARR1152-23
CARR_002_C8	CARR1160-23
CARR_002_C9	CARR1168-23
CARR_002_D1	CARR1105-23
CARR_002_D10	CARR1177-23
CARR_002_D11	CARR1185-23
CARR_002_D12	CARR1193-23
CARR_002_D2	CARR1113-23
CARR_002_D3	CARR1121-23
CARR_002_D4	CARR1129-23
CARR_002_D5	CARR1137-23
CARR_002_D6	CARR1145-23
CARR_002_D7	CARR1153-23
CARR_002_D8	CARR1161-23
CARR_002_D9	CARR1169-23
CARR_002_E1	CARR1106-23
CARR_002_E10	CARR1178-23
CARR_002_E11	CARR1186-23
CARR_002_E12	CARR1194-23
CARR_002_E2	CARR1114-23
CARR_002_E3	CARR1122-23
CARR_002_E4	CARR1130-23
CARR_002_E5	CARR1138-23
CARR_002_E6	CARR1146-23
CARR_002_E7	CARR1154-23
CARR_002_E8	CARR1162-23
CARR_002_E9	CARR1170-23
